ID_State;State;ID_Municipality;Municipality;ID_long;Year;Homicides;Total_beneficiaries;Households_real;Total_Population_real;Households_rp;Total_Population_rp
1;Aguascalientes;01 001;Aguascalientes;01 001 1998;1998;35;NA;NA;NA;94803;582827
1;Aguascalientes;01 002;Asientos;01 002 1998;1998;1;NA;NA;NA;5344;35762
1;Aguascalientes;01 003;Calvillo;01 003 1998;1998;0;NA;NA;NA;8451;51658
1;Aguascalientes;01 004;Cos°o;01 004 1998;1998;0;NA;NA;NA;1803;12136
1;Aguascalientes;01 005;Jes£s Mar°a;01 005 1998;1998;1;NA;NA;NA;6594;54476
1;Aguascalientes;01 006;Pabell¢n de Arteaga;01 006 1998;1998;4;NA;NA;NA;4451;31650
1;Aguascalientes;01 007;Rinc¢n de Romos;01 007 1998;1998;3;NA;NA;NA;5645;38752
1;Aguascalientes;01 008;San JosÇ de Gracia;01 008 1998;1998;0;NA;NA;NA;1156;7170
1;Aguascalientes;01 009;Tepezal†;01 009 1998;1998;0;NA;NA;NA;2462;16175
1;Aguascalientes;01 010;El Llano;01 010 1998;1998;0;NA;NA;NA;0;14278
1;Aguascalientes;01 011;San Francisco de los Romo;01 011 1998;1998;0;NA;NA;NA;0;17836
2;Baja California;02 001;Ensenada;02 001 1998;1998;76;NA;NA;NA;60224;315289
2;Baja California;02 002;Mexicali;02 002 1998;1998;137;NA;NA;NA;135782;696034
2;Baja California;02 003;Tecate;02 003 1998;1998;28;NA;NA;NA;11584;62629
2;Baja California;02 004;Tijuana;02 004 1998;1998;325;NA;NA;NA;166308;991592
2;Baja California;02 005;Playas de Rosarito;02 005 1998;1998;15;NA;NA;NA;0;46596
3;Baja California Sur;03 001;Comond£;03 001 1998;1998;1;NA;NA;NA;15459;66096
3;Baja California Sur;03 002;MulegÇ;03 002 1998;1998;2;NA;NA;NA;8595;45963
3;Baja California Sur;03 003;La Paz;03 003 1998;1998;10;NA;NA;NA;34600;182418
3;Baja California Sur;03 008;Los Cabos;03 008 1998;1998;5;NA;NA;NA;10040;71031
3;Baja California Sur;03 009;Loreto;03 009 1998;1998;1;NA;NA;NA;0;9986
4;Campeche;04 001;Calkin°;04 001 1998;1998;2;1939;NA;NA;7382;43799
4;Campeche;04 002;Campeche;04 002 1998;1998;31;2139;NA;NA;38208;204533
4;Campeche;04 003;Carmen;04 003 1998;1998;19;4485;NA;NA;28641;179690
4;Campeche;04 004;Champot¢n;04 004 1998;1998;9;3659;NA;NA;14339;80066
4;Campeche;04 005;Hecelchak†n;04 005 1998;1998;2;883;NA;NA;3650;23417
4;Campeche;04 006;HopelchÇn;04 006 1998;1998;1;2725;NA;NA;6982;41745
4;Campeche;04 007;Palizada;04 007 1998;1998;2;554;NA;NA;1459;7903
4;Campeche;04 008;Tenabo;04 008 1998;1998;1;141;NA;NA;1206;7630
4;Campeche;04 009;Esc†rcega;04 009 1998;1998;11;3219;NA;NA;8499;53733
4;Campeche;04 010;Calakmul;04 010 1998;1998;5;2967;NA;NA;0;0
4;Campeche;04 011;Candelaria;04 011 1998;1998;0;1456;NA;NA;0;0
5;Coahuila de Zaragoza;05 001;Abasolo;05 001 1998;1998;0;NA;NA;NA;371;1290
5;Coahuila de Zaragoza;05 002;Acu§a;05 002 1998;1998;7;NA;NA;NA;12287;81602
5;Coahuila de Zaragoza;05 003;Allende;05 003 1998;1998;0;NA;NA;NA;4259;19917
5;Coahuila de Zaragoza;05 004;Arteaga;05 004 1998;1998;0;1115;NA;NA;3583;18907
5;Coahuila de Zaragoza;05 005;Candela;05 005 1998;1998;0;34;NA;NA;475;1713
5;Coahuila de Zaragoza;05 006;Casta§os;05 006 1998;1998;0;218;NA;NA;4398;21924
5;Coahuila de Zaragoza;05 007;Cuatro CiÇnegas;05 007 1998;1998;0;478;NA;NA;2629;12899
5;Coahuila de Zaragoza;05 008;Escobedo;05 008 1998;1998;0;NA;NA;NA;640;2843
5;Coahuila de Zaragoza;05 009;Francisco I. Madero;05 009 1998;1998;3;1602;NA;NA;9938;47510
5;Coahuila de Zaragoza;05 010;Frontera;05 010 1998;1998;2;NA;NA;NA;12955;63847
5;Coahuila de Zaragoza;05 011;General Cepeda;05 011 1998;1998;1;640;NA;NA;2430;11913
5;Coahuila de Zaragoza;05 012;Guerrero;05 012 1998;1998;0;NA;NA;NA;609;2144
5;Coahuila de Zaragoza;05 013;Hidalgo;05 013 1998;1998;0;NA;NA;NA;288;1271
5;Coahuila de Zaragoza;05 014;JimÇnez;05 014 1998;1998;1;NA;NA;NA;1815;9328
5;Coahuila de Zaragoza;05 015;Ju†rez;05 015 1998;1998;0;13;NA;NA;380;1588
5;Coahuila de Zaragoza;05 016;Lamadrid;05 016 1998;1998;0;NA;NA;NA;463;1832
5;Coahuila de Zaragoza;05 017;Matamoros;05 017 1998;1998;9;3878;NA;NA;16139;88235
5;Coahuila de Zaragoza;05 018;Monclova;05 018 1998;1998;11;NA;NA;NA;38654;189738
5;Coahuila de Zaragoza;05 019;Morelos;05 019 1998;1998;0;NA;NA;NA;1509;6642
5;Coahuila de Zaragoza;05 020;M£zquiz;05 020 1998;1998;5;NA;NA;NA;13931;62990
5;Coahuila de Zaragoza;05 021;Nadadores;05 021 1998;1998;6;137;NA;NA;1184;6187
5;Coahuila de Zaragoza;05 022;Nava;05 022 1998;1998;1;NA;NA;NA;3530;20502
5;Coahuila de Zaragoza;05 023;Ocampo;05 023 1998;1998;1;636;NA;NA;1738;13389
5;Coahuila de Zaragoza;05 024;Parras;05 024 1998;1998;1;1368;NA;NA;7621;43303
5;Coahuila de Zaragoza;05 025;Piedras Negras;05 025 1998;1998;16;NA;NA;NA;21638;116148
5;Coahuila de Zaragoza;05 026;Progreso;05 026 1998;1998;0;95;NA;NA;936;3613
5;Coahuila de Zaragoza;05 027;Ramos Arizpe;05 027 1998;1998;2;681;NA;NA;5844;36440
5;Coahuila de Zaragoza;05 028;Sabinas;05 028 1998;1998;2;NA;NA;NA;10491;51129
5;Coahuila de Zaragoza;05 029;Sacramento;05 029 1998;1998;0;NA;NA;NA;447;1955
5;Coahuila de Zaragoza;05 030;Saltillo;05 030 1998;1998;15;1303;NA;NA;89340;527979
5;Coahuila de Zaragoza;05 031;San Buenaventura;05 031 1998;1998;1;NA;NA;NA;4517;20034
5;Coahuila de Zaragoza;05 032;San Juan de Sabinas;05 032 1998;1998;2;NA;NA;NA;9318;40731
5;Coahuila de Zaragoza;05 033;San Pedro;05 033 1998;1998;5;5384;NA;NA;18779;91421
5;Coahuila de Zaragoza;05 034;Sierra Mojada;05 034 1998;1998;0;149;NA;NA;2030;6594
5;Coahuila de Zaragoza;05 035;Torre¢n;05 035 1998;1998;42;466;NA;NA;95498;508076
5;Coahuila de Zaragoza;05 036;Viesca;05 036 1998;1998;3;1601;NA;NA;3842;19510
5;Coahuila de Zaragoza;05 037;Villa Uni¢n;05 037 1998;1998;2;NA;NA;NA;1358;6228
5;Coahuila de Zaragoza;05 038;Zaragoza;05 038 1998;1998;5;NA;NA;NA;2631;12403
6;Colima;06 001;Armer°a;06 001 1998;1998;5;174;NA;NA;5696;28015
6;Colima;06 002;Colima;06 002 1998;1998;21;318;NA;NA;25521;120781
6;Colima;06 003;Comala;06 003 1998;1998;1;712;NA;NA;3402;17601
6;Colima;06 004;Coquimatl†n;06 004 1998;1998;2;192;NA;NA;3260;16939
6;Colima;06 005;CuauhtÇmoc;06 005 1998;1998;2;269;NA;NA;4978;25462
6;Colima;06 006;Ixtlahuac†n;06 006 1998;1998;2;257;NA;NA;1082;4989
6;Colima;06 007;Manzanillo;06 007 1998;1998;17;517;NA;NA;20245;108584
6;Colima;06 008;Minatitl†n;06 008 1998;1998;1;282;NA;NA;1660;8321
6;Colima;06 009;Tecom†n;06 009 1998;1998;11;873;NA;NA;16470;91036
6;Colima;06 010;Villa de µlvarez;06 010 1998;1998;2;114;NA;NA;7949;66300
7;Chiapas;07 001;Acacoyagua;07 001 1998;1998;5;1062;NA;NA;1999;12607
7;Chiapas;07 002;Acala;07 002 1998;1998;2;NA;NA;NA;4156;23553
7;Chiapas;07 003;Acapetahua;07 003 1998;1998;17;2583;NA;NA;4511;25647
7;Chiapas;07 004;Altamirano;07 004 1998;1998;2;NA;NA;NA;2952;0
7;Chiapas;07 005;Amat†n;07 005 1998;1998;1;522;NA;NA;2503;15187
7;Chiapas;07 006;Amatenango de la Frontera;07 006 1998;1998;7;2342;NA;NA;3910;23200
7;Chiapas;07 007;Amatenango del Valle;07 007 1998;1998;2;614;NA;NA;1080;6775
7;Chiapas;07 008;Angel Albino Corzo;07 008 1998;1998;9;1964;NA;NA;3685;24094
7;Chiapas;07 009;Arriaga;07 009 1998;1998;18;1040;NA;NA;7526;39164
7;Chiapas;07 010;Bejucal de Ocampo;07 010 1998;1998;0;767;NA;NA;956;6126
7;Chiapas;07 011;Bella Vista;07 011 1998;1998;0;1902;NA;NA;2781;16803
7;Chiapas;07 012;Berrioz†bal;07 012 1998;1998;4;NA;NA;NA;4035;26301
7;Chiapas;07 013;Bochil;07 013 1998;1998;6;1074;NA;NA;2955;0
7;Chiapas;07 014;El Bosque;07 014 1998;1998;1;NA;NA;NA;2516;0
7;Chiapas;07 015;Cacahoat†n;07 015 1998;1998;9;1565;NA;NA;6259;35738
7;Chiapas;07 016;Catazaj†;07 016 1998;1998;1;272;NA;NA;2689;15689
7;Chiapas;07 017;Cintalapa;07 017 1998;1998;22;295;NA;NA;11009;63600
7;Chiapas;07 018;Coapilla;07 018 1998;1998;0;NA;NA;NA;1173;6435
7;Chiapas;07 019;Comit†n de Dom°nguez;07 019 1998;1998;21;NA;NA;NA;15620;95260
7;Chiapas;07 020;La Concordia;07 020 1998;1998;11;784;NA;NA;5931;37456
7;Chiapas;07 021;Copainal†;07 021 1998;1998;12;NA;NA;NA;3288;17035
7;Chiapas;07 022;Chalchihuit†n;07 022 1998;1998;3;307;NA;NA;1765;9901
7;Chiapas;07 023;Chamula;07 023 1998;1998;8;5570;NA;NA;10819;52942
7;Chiapas;07 024;Chanal;07 024 1998;1998;5;NA;NA;NA;1127;0
7;Chiapas;07 025;Chapultenango;07 025 1998;1998;0;331;NA;NA;894;6388
7;Chiapas;07 026;Chenalh¢;07 026 1998;1998;3;291;NA;NA;5394;0
7;Chiapas;07 027;Chiapa de Corzo;07 027 1998;1998;10;NA;NA;NA;9033;58825
7;Chiapas;07 028;Chiapilla;07 028 1998;1998;0;NA;NA;NA;861;4770
7;Chiapas;07 029;ChicoasÇn;07 029 1998;1998;1;NA;NA;NA;719;3906
7;Chiapas;07 030;Chicomuselo;07 030 1998;1998;9;1245;NA;NA;4127;26392
7;Chiapas;07 031;Chil¢n;07 031 1998;1998;4;6061;NA;NA;10592;69946
7;Chiapas;07 032;Escuintla;07 032 1998;1998;7;2852;NA;NA;4383;26282
7;Chiapas;07 033;Francisco Le¢n;07 033 1998;1998;0;261;NA;NA;616;4061
7;Chiapas;07 034;Frontera Comalapa;07 034 1998;1998;14;1364;NA;NA;7952;50012
7;Chiapas;07 035;Frontera Hidalgo;07 035 1998;1998;2;584;NA;NA;1778;9852
7;Chiapas;07 036;La Grandeza;07 036 1998;1998;0;603;NA;NA;830;5644
7;Chiapas;07 037;Huehuet†n;07 037 1998;1998;5;2648;NA;NA;5283;30356
7;Chiapas;07 038;Huixt†n;07 038 1998;1998;5;1387;NA;NA;2839;0
7;Chiapas;07 039;Huitiup†n;07 039 1998;1998;0;1055;NA;NA;2772;0
7;Chiapas;07 040;Huixtla;07 040 1998;1998;17;3821;NA;NA;8724;47644
7;Chiapas;07 041;La Independencia;07 041 1998;1998;1;NA;NA;NA;4907;0
7;Chiapas;07 042;Ixhuat†n;07 042 1998;1998;1;NA;NA;NA;1263;7796
7;Chiapas;07 043;Ixtacomit†n;07 043 1998;1998;1;NA;NA;NA;1331;8180
7;Chiapas;07 044;Ixtapa;07 044 1998;1998;0;832;NA;NA;2301;16402
7;Chiapas;07 045;Ixtapangajoya;07 045 1998;1998;0;316;NA;NA;689;4515
7;Chiapas;07 046;Jiquipilas;07 046 1998;1998;12;32;NA;NA;7047;35403
7;Chiapas;07 047;Jitotol;07 047 1998;1998;1;854;NA;NA;1709;11403
7;Chiapas;07 048;Ju†rez;07 048 1998;1998;3;NA;NA;NA;3891;20451
7;Chiapas;07 049;Larr†inzar;07 049 1998;1998;2;135;NA;NA;2746;14944
7;Chiapas;07 050;La Libertad;07 050 1998;1998;1;83;NA;NA;1062;5141
